CMDLINE c:\users\hinjeniero\appdata\local\programs\python\python37-32\python.exe .\main.py
MEM 356.582031 1560014928.2121
MEM 356.582031 1560014928.3131
MEM 356.582031 1560014928.4131
MEM 356.582031 1560014928.5131
MEM 356.843750 1560014928.6140
MEM 356.843750 1560014928.7141
MEM 356.843750 1560014928.8151
MEM 356.843750 1560014928.9151
MEM 356.843750 1560014929.0151
MEM 357.015625 1560014929.1160
MEM 357.015625 1560014929.2161
MEM 357.015625 1560014929.3171
MEM 357.015625 1560014929.4171
MEM 357.015625 1560014929.5181
MEM 357.015625 1560014929.6187
MEM 357.015625 1560014929.7197
MEM 357.050781 1560014929.8198
MEM 357.050781 1560014929.9201
MEM 357.054688 1560014930.0209
MEM 357.054688 1560014930.1218
MEM 357.054688 1560014930.2219
MEM 357.054688 1560014930.3221
MEM 357.054688 1560014930.4229
MEM 357.054688 1560014930.5239
MEM 357.054688 1560014930.6249
MEM 357.054688 1560014930.7259
MEM 357.054688 1560014930.8269
MEM 357.054688 1560014930.9279
MEM 357.054688 1560014931.0289
MEM 357.054688 1560014931.1299
MEM 363.550781 1560014931.2299
MEM 371.464844 1560014931.3308
MEM 379.093750 1560014931.4316
MEM 381.984375 1560014931.5319
MEM 381.984375 1560014931.6323
MEM 381.984375 1560014931.7332
MEM 381.984375 1560014931.8332
MEM 381.988281 1560014931.9333
MEM 381.988281 1560014932.0333
MEM 382.050781 1560014932.1333
MEM 382.050781 1560014932.2333
MEM 382.050781 1560014932.3342
MEM 382.054688 1560014932.4350
MEM 382.054688 1560014932.5350
MEM 382.054688 1560014932.6356
MEM 382.054688 1560014932.7359
MEM 382.054688 1560014932.8368
MEM 382.054688 1560014932.9369
MEM 386.468750 1560014933.0369
MEM 404.152344 1560014933.1374
MEM 405.781250 1560014933.2374
MEM 404.468750 1560014933.3381
MEM 413.855469 1560014933.4391
MEM 428.140625 1560014933.5391
MEM 433.523438 1560014933.6401
MEM 450.042969 1560014933.7411
MEM 461.191406 1560014933.8421
MEM 463.234375 1560014933.9421
MEM 434.628906 1560014934.0431
MEM 435.179688 1560014934.1440
MEM 435.800781 1560014934.2440
MEM 436.125000 1560014934.3450
MEM 436.152344 1560014934.4460
MEM 436.343750 1560014934.5470
MEM 436.722656 1560014934.6470
MEM 436.851562 1560014934.7480
