[2018-11-24 21:08:03,780]: Pygame parameters:
 

[2018-11-24 21:09:40,733]: Pygame parameters:
%s 

[2018-11-24 21:09:40,734]: FPS: 60
%s 

[2018-11-24 21:10:40,601]: ----Pygame parameters----%s 

[2018-11-24 21:10:40,601]: FPS: 60%s 

[2018-11-24 21:10:40,602]: RESOLUTION: (1280, 720)%s 

[2018-11-24 21:23:28,261]: ----Pygame parameters---- 

[2018-11-24 21:24:44,967]: ----Pygame parameters---- 

[2018-11-24 21:24:44,968]: FPS: 60 

[2018-11-24 21:24:44,968]: RESOLUTION: (1280, 720) 

[2018-11-24 21:26:53,586]: ----Pygame parameters---- 

[2018-11-24 21:26:53,586]: FPS: 60 

[2018-11-24 21:26:53,586]: RESOLUTION: (1280, 720) 

[2018-11-24 21:27:21,608]: ----Pygame parameters---- 

[2018-11-24 21:27:21,608]: FPS: 60 
[2018-11-24 21:27:23,235]: Received event <Event(5-MouseButtonDown {pos: (848, 361), button: 1})>" 

[2018-11-24 21:27:23,245]: Received event <Event(25-UserEvent {command: go_menu_params_config, value: None})>" 

[2018-11-24 21:27:23,302]: Received event <Event(6-MouseButtonUp {pos: (848, 361), button: 1})>" 

[2018-11-24 21:27:23,397]: Received event <Event(4-MouseMotion {pos: (848, 359), rel: (0, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,404]: Received event <Event(4-MouseMotion {pos: (846, 359), rel: (-2, 0), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,412]: Received event <Event(4-MouseMotion {pos: (845, 357), rel: (-1, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,419]: Received event <Event(4-MouseMotion {pos: (844, 356), rel: (-1, -1), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,426]: Received event <Event(4-MouseMotion {pos: (842, 355), rel: (-2, -1), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,433]: Received event <Event(4-MouseMotion {pos: (840, 353), rel: (-2, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,440]: Received event <Event(4-MouseMotion {pos: (839, 352), rel: (-1, -1), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,447]: Received event <Event(4-MouseMotion {pos: (837, 350), rel: (-2, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,454]: Received event <Event(4-MouseMotion {pos: (836, 348), rel: (-1, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,461]: Received event <Event(4-MouseMotion {pos: (833, 346), rel: (-3, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,468]: Received event <Event(4-MouseMotion {pos: (830, 344), rel: (-3, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,475]: Received event <Event(4-MouseMotion {pos: (828, 341), rel: (-2, -3), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,482]: Received event <Event(4-MouseMotion {pos: (824, 340), rel: (-4, -1), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,489]: Received event <Event(4-MouseMotion {pos: (821, 338), rel: (-3, -2), buttons: (0, 0, 0)})>" 

